Invoice ID;Branch;City;Customer type;Gender;Id;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
145-94-9061;B;Mandalay;Normal;Female;3;Food and beverages;88.36;5;22.09;463.89;1/25/2019;19:48;Cash;441.8;4.761.904.762;22.09;9.6
848-62-7243;A;Yangon;Normal;Male;4;Health and beauty;24.89;9;112.005;2.352.105;3/15/2019;15:36;Cash;224.01;4.761.904.762;112.005;7.4
871-79-8483;B;Mandalay;Normal;Male;2;Fashion accessories;94.13;5;235.325;4.941.825;2/25/2019;19:39;Credit card;470.65;4.761.904.762;235.325;4.8
149-71-6266;B;Mandalay;Member;Male;6;Sports and travel;78.07;9;351.315;7.377.615;1/28/2019;12:43;Cash;702.63;4.761.904.762;351.315;4.5
640-49-2076;B;Mandalay;Normal;Male;6;Sports and travel;83.78;8;33.512;703.752;1/10/2019;14:49;Cash;670.24;4.761.904.762;33.512;5.1
595-11-5460;A;Yangon;Normal;Male;4;Health and beauty;96.58;2;9.658;202.818;3/15/2019;10:12;Credit card;193.16;4.761.904.762;9.658;5.1
183-56-6882;C;Naypyitaw;Member;Female;3;Food and beverages;99.42;4;19.884;417.564;2/06/2019;10:42;Ewallet;397.68;4.761.904.762;19.884;7.5
232-16-2483;C;Naypyitaw;Member;Female;6;Sports and travel;68.12;1;3.406;71.526;1/07/2019;12:28;Ewallet;68.12;4.761.904.762;3.406;6.8
129-29-8530;A;Yangon;Member;Male;6;Sports and travel;62.62;5;15.655;328.755;3/10/2019;19:15;Ewallet;313.1;4.761.904.762;15.655;7
272-65-1806;A;Yangon;Normal;Female;1;Electronic accessories;60.88;9;27.396;575.316;1/15/2019;17:17;Ewallet;547.92;4.761.904.762;27.396;4.7
333-73-7901;C;Naypyitaw;Normal;Female;4;Health and beauty;54.92;8;21.968;461.328;3/23/2019;13:24;Ewallet;439.36;4.761.904.762;21.968;7.6
777-82-7220;B;Mandalay;Member;Male;5;Home and lifestyle;30.12;8;12.048;253.008;3/03/2019;13:01;Cash;240.96;4.761.904.762;12.048;7.7
280-35-5823;B;Mandalay;Member;Female;5;Home and lifestyle;86.72;1;4.336;91.056;1/17/2019;18:45;Ewallet;86.72;4.761.904.762;4.336;7.9
554-53-8700;C;Naypyitaw;Member;Male;5;Home and lifestyle;56.11;2;5.611;117.831;2/02/2019;10:11;Cash;112.22;4.761.904.762;5.611;6.3
354-25-5821;B;Mandalay;Member;Female;6;Sports and travel;69.12;6;20.736;435.456;2/08/2019;13:03;Cash;414.72;4.761.904.762;20.736;5.6
228-96-1411;C;Naypyitaw;Member;Female;3;Food and beverages;98.7;8;39.48;829.08;3/04/2019;20:39;Cash;789.6;4.761.904.762;39.48;7.6
617-15-4209;C;Naypyitaw;Member;Male;4;Health and beauty;15.37;2;1.537;32.277;3/16/2019;19:47;Cash;30.74;4.761.904.762;1.537;7.2
132-32-9879;B;Mandalay;Member;Female;1;Electronic accessories;93.96;4;18.792;394.632;3/09/2019;18:00;Cash;375.84;4.761.904.762;18.792;9.5
370-41-7321;B;Mandalay;Member;Male;4;Health and beauty;56.69;9;255.105;5.357.205;2/27/2019;17:24;Credit card;510.21;4.761.904.762;255.105;8.4
727-46-3608;B;Mandalay;Member;Female;3;Food and beverages;20.01;9;90.045;1.890.945;2/06/2019;15:47;Ewallet;180.09;4.761.904.762;90.045;4.1
669-54-1719;B;Mandalay;Member;Male;1;Electronic accessories;18.93;6;5.679;119.259;2/10/2019;12:45;Credit card;113.58;4.761.904.762;5.679;8.1
